day,home_team,away_team,home_score,away_score
8,FC Sochaux-Montbéliard,FC Nantes,0 , 1
8,RC Strasbourg,RC Lens,2 , 1
8,SC Bastia,SC Toulon,1 , 0
8,LOSC Lille,FC Metz,2 , 0
8,Stade Rennais FC,Stade Brestois 29,1 , 1
8,AS Nancy-Lorraine,Toulouse FC,2 , 0
8,Nîmes Olympique,Stade Lavallois,3 , 0
9,AS Monaco FC,AJ Auxerre,0 , 1
9,Toulouse FC,Girondins de Bordeaux,1 , 3
9,FC Nantes,SC Bastia,1 , 0
9,Stade Lavallois,Stade Rennais FC,2 , 0
9,FC Rouen 1899,RC Strasbourg,2 , 2
9,AS Saint-Etienne,Paris Saint-Germain,2 , 3
9,RC Lens,LOSC Lille,4 , 2
9,Stade Brestois 29,AS Nancy-Lorraine,1 , 1
9,FC Metz,FC Sochaux-Montbéliard,3 , 1
9,SC Toulon,Nîmes Olympique,3 , 1
10,AJ Auxerre,Paris Saint-Germain,1 , 2
10,Girondins de Bordeaux,FC Nantes,1 , 0
10,SC Bastia,AS Monaco FC,0 , 1
10,FC Rouen 1899,FC Metz,3 , 0
10,AS Nancy-Lorraine,Stade Lavallois,0 , 0
10,FC Sochaux-Montbéliard,RC Lens,2 , 2
10,LOSC Lille,SC Toulon,4 , 2
10,RC Strasbourg,Toulouse FC,1 , 3
10,Nîmes Olympique,Stade Brestois 29,2 , 2
10,Stade Rennais FC,AS Saint-Etienne,1 , 2
11,Stade Lavallois,Girondins de Bordeaux,0 , 1
11,SC Toulon,AJ Auxerre,1 , 0
11,AS Monaco FC,AS Nancy-Lorraine,1 , 1
11,Paris Saint-Germain,SC Bastia,1 , 0
11,FC Nantes,RC Strasbourg,1 , 1
11,Toulouse FC,FC Rouen 1899,2 , 0
11,RC Lens,Nîmes Olympique,0 , 0
11,Stade Brestois 29,LOSC Lille,1 , 1
11,AS Saint-Etienne,FC Sochaux-Montbéliard,1 , 0
11,FC Metz,Stade Rennais FC,6 , 0
12,Girondins de Bordeaux,RC Lens,3 , 2
12,LOSC Lille,AS Monaco FC,1 , 1
12,SC Bastia,AJ Auxerre,1 , 0
12,Stade Rennais FC,Paris Saint-Germain,0 , 1
12,Toulouse FC,FC Nantes,3 , 1
12,FC Rouen 1899,SC Toulon,1 , 1
12,RC Strasbourg,Stade Lavallois,1 , 0
12,AS Nancy-Lorraine,FC Metz,2 , 1
12,FC Sochaux-Montbéliard,Stade Brestois 29,2 , 0
12,Nîmes Olympique,AS Saint-Etienne,1 , 1
13,Stade Brestois 29,Girondins de Bordeaux,0 , 0
13,AS Monaco FC,Nîmes Olympique,5 , 1
13,AJ Auxerre,Stade Rennais FC,1 , 0
13,Paris Saint-Germain,FC Sochaux-Montbéliard,3 , 1
13,FC Nantes,FC Rouen 1899,3 , 0
13,SC Toulon,RC Strasbourg,1 , 3
13,Stade Lavallois,Toulouse FC,1 , 0
13,RC Lens,AS Nancy-Lorraine,3 , 1
13,AS Saint-Etienne,LOSC Lille,2 , 0
13,FC Metz,SC Bastia,1 , 0
14,Nîmes Olympique,Paris Saint-Germain,1 , 1
14,FC Nantes,RC Lens,0 , 0
14,FC Rouen 1899,Stade Lavallois,2 , 0
14,Girondins de Bordeaux,FC Metz,1 , 1
14,FC Sochaux-Montbéliard,AS Monaco FC,1 , 1
14,LOSC Lille,AJ Auxerre,1 , 2
14,RC Strasbourg,Stade Brestois 29,1 , 0
14,AS Nancy-Lorraine,AS Saint-Etienne,2 , 0
14,Toulouse FC,SC Toulon,1 , 3
14,Stade Rennais FC,SC Bastia,4 , 1
