	start	game_id	sqw_home_team_id	sqw_away_team_id	team_id	short_name	first_name	last_name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed	predict
103	2015	9697	131	123	131	Lyon	Corentin	Tolisso	0	73.0	70.7	127.476179561	34.0219047086	0	1	0	0	0	0	0	0.0100988453439
104	2015	9697	131	123	131	Lyon	Christophe	Jallet	0	91.6	37.6	34.1144729453	14.9773161815	0	1	0	0	0	0	0	0.167047050188
105	2015	9697	131	123	131	Lyon	Alexandre	Lacazette	0	88.7	57.9	124.957976364	13.7876756562	0	0	0	0	0	0	0	0.205166197979
106	2015	9697	131	123	131	Lyon	Steed	Malbranque	0	87.2	32.7	36.4971608441	21.5204553855	0	0	0	0	0	0	0	0.0659648651254
107	2015	9698	139	136	136	Bordeaux	Jussie	Ferreira Vieira	0	85.6	52.3	99.074758021	14.5825237871	0	0	0	0	0	0	0	0.182566237562
108	2015	9698	139	136	136	Bordeaux	Wahbi	Khazri	0	89.2	34.6	35.0419294015	18.8095720313	0	0	0	0	0	0	0	0.0981189215614
109	2015	9698	139	136	136	Bordeaux	Nicolas	Maurice-Belay	0	73.2	58.5	107.597162492	28.1156540027	0	0	0	0	0	0	0	0.0252034527482
110	2015	9698	139	136	136	Bordeaux	Andre	Biyogo Poko	0	88.2	29.5	29.9251505904	23.6535409611	0	0	0	0	0	0	0	0.0476213832714
111	2015	9698	139	136	136	Bordeaux	Diego	Rolan	0	77.7	33.3	53.1712335599	27.8600071787	0	0	0	0	0	0	1	0.0252895088469
112	2015	9698	139	136	136	Bordeaux	Jaroslav	Plasil	1	88.6	56.2	118.539985188	12.976902558	0	0	0	0	0	0	0	0.226323544756
113	2015	9698	139	136	139	Nice	Mickael	Le Bihan	1	95.1	60.3	154.558251537	11.4061386981	0	0	0	0	0	0	0	0.278175411223
114	2015	9698	139	136	139	Nice	Hatem	Ben Arfa	0	73.7	65.4	120.351163212	30.4770405387	0	0	0	0	0	0	0	0.0175715029984
115	2015	9698	139	136	139	Nice	Mickael	Le Bihan	0	93.7	60.9	149.972875767	12.589678312	1	1	0	0	0	0	0	0.101346240322
116	2015	9698	139	136	139	Nice	Hatem	Ben Arfa	1	93.2	47.8	72.072080238	7.14702735408	0	0	0	0	0	0	0	0.418314133891
117	2015	9698	139	136	139	Nice	Mickael	Le Bihan	0	80.1	63.0	123.15523331	23.7699389987	0	0	0	0	0	0	0	0.0497220715935
118	2015	9698	139	136	139	Nice	Jean	Seri	0	84.5	63.6	131.264340873	20.6206207472	0	1	0	0	0	0	0	0.0800542897217
119	2015	9698	139	136	139	Nice	Hatem	Ben Arfa	1	92.3	64.8	152.513380376	16.6832251079	0	0	0	0	0	0	0	0.142095286607
120	2015	9698	139	136	139	Nice	Alexandre	Mendy	1	89.0	38.9	44.7407448485	15.6272198423	0	0	0	0	0	0	0	0.154042805004
121	2015	9698	139	136	139	Nice	Alexandre	Mendy	0	91.8	40.1	39.6343690734	12.8549601322	1	0	0	0	0	0	0	0.0910860172752
122	2015	9698	139	136	139	Nice	Valère	Germain	0	85.2	66.7	138.451753908	22.3143451618	0	0	0	0	0	0	0	0.0625459915913
123	2015	9698	139	136	139	Nice	Mickael	Le Bihan	0	94.2	63.7	157.05425771	14.8771637082	1	1	0	0	0	0	0	0.0729020579269
124	2015	9698	139	136	139	Nice	Valère	Germain	0	84.6	37.9	51.8427734126	19.5849431962	0	0	0	0	0	0	0	0.0886164079559
125	2015	9698	139	136	139	Nice	Vincent	Koziello	0	80.8	48.2	84.6441749571	19.284190416	0	1	0	0	0	0	1	0.0944825098228
126	2015	9698	139	136	139	Nice	Jérémy	Pied	0	86.0	39.5	53.1301023542	17.5	0	1	0	0	0	0	0	0.119552448027
127	2015	9698	139	136	139	Nice	Valère	Germain	1	89.0	43.6	59.808377039	12.7263506159	1	1	0	0	0	0	0	0.0939733899525
128	2015	9701	146	128	128	St Etienne	Romain	Hamouma	0	74.4	47.6	84.6441749571	25.712253888	0	0	0	0	0	0	0	0.0360187384911
129	2015	9701	146	128	128	St Etienne	Kévin	Monnet-Paquet	0	78.1	36.2	57.7834539414	25.8853240273	0	0	0	0	0	0	0	0.034452530433
130	2015	9701	146	128	128	St Etienne	Robert	Beric	0	88.3	49.1	85.601294645	11.7345643294	0	0	0	0	0	0	0	0.258589082642
131	2015	9701	146	128	128	St Etienne	Fabien	Lemoine	0	76.0	29.5	49.4971516147	31.5634282042	0	0	0	0	1	0	0	0.0141202211094
132	2015	9701	146	128	128	St Etienne	Romain	Hamouma	0	88.7	52.4	101.990834979	11.552056094	0	0	0	0	0	0	0	0.266410436213
133	2015	9701	146	128	128	St Etienne	Romain	Hamouma	0	79.7	52.8	97.853313302	20.4921936356	0	1	0	0	0	0	0	0.0798771333534
134	2015	9701	146	128	128	St Etienne	Fabien	Lemoine	0	91.9	28.4	20.5560452196	23.0688101124	0	0	0	0	0	0	0	0.0517254817339
135	2015	9701	146	128	128	St Etienne	Nolan	Roux	0	91.9	47.0	69.6768631703	8.63770802933	0	0	0	0	0	0	0	0.361354288512
136	2015	9701	146	128	128	St Etienne	Nolan	Roux	0	85.9	65.8	138.254116142	21.1766380712	0	0	0	0	0	0	0	0.0740799987088
