start	short_name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed
2014	Bastia	0	85.1	21	27.19379	32.60383	0	0	0	0	0	0	0
2014	Bastia	0	95.4	50.4	94.96974	4.61736	0	0	0	0	0	0	0
2014	Bastia	0	80.1	60.9	118.71123	22.68965	0	0	0	0	0	0	0
2014	Bastia	0	80.4	23.7	36.69522	32.80015	0	0	0	0	0	0	0
2014	Bastia	0	81.2	31.3	45.15279	26.5166	0	0	0	0	0	0	0
2014	Bastia	0	73	39.4	68.5654	29.00621	0	0	0	0	0	0	0
2014	Bastia	0	87.3	46.2	73.34215	13.25632	0	1	0	0	0	0	0
2014	Bastia	0	88.9	65.8	144.91074	19.30932	0	0	0	0	0	0	0
2014	Bastia	0	90.6	65.5	148.76522	18.1276	0	0	0	0	0	0	0
2014	Bastia	0	74.1	42.3	73.44293	27.02036	0	0	0	0	0	0	0
2014	Bastia	0	93.8	56.3	135.45836	8.83912	1	1	0	0	0	0	0
2014	Bastia	0	74.6	74.5	133.96672	35.29037	0	0	0	0	0	0	0
2014	Bastia	0	85.2	43.7	66.94173	16.08509	1	0	0	0	1	0	0
2014	Bastia	0	75.8	38.6	64.77608	26.7507	0	0	0	0	0	0	0
2014	Bastia	0	85.2	65.3	135.95167	21.28685	0	0	0	0	0	0	0
2014	Bastia	0	76.4	31.5	51.90716	29.98683	0	0	0	0	0	0	0
2014	Bastia	0	85	69.5	142.43141	24.60183	0	0	0	0	1	0	0
2014	Bastia	0	81.4	69.5	136.35319	26.94828	0	0	0	0	0	0	0
2014	Bastia	0	78.4	27.1	43.32667	31.47968	0	0	0	0	0	0	0
2014	Bastia	1	88	66.6	144.13715	20.48316	0	0	0	0	0	0	0
2014	Bastia	0	97.3	60.9	166.08751	11.22943	0	1	0	0	0	0	1
2014	Bastia	0	67.7	48.3	86.98721	32.34471	0	0	0	0	0	0	0
2014	Bastia	0	82.2	47	80.43331	18.05104	0	0	0	0	0	0	0
2014	Bastia	0	91.4	40.2	41.2686	13.0384	1	1	0	0	0	0	0
2014	Bastia	0	72.6	35.2	61.62448	31.14161	0	0	0	0	0	0	0
2014	Bastia	0	75.4	60.1	112.32154	26.59267	0	1	0	0	0	0	0
2014	Bastia	0	90.7	30.5	25.49755	21.60417	0	0	0	0	0	0	0
2014	Bastia	1	79.5	36.9	57.42043	24.32817	0	0	0	0	0	0	0
2014	Bastia	0	71.7	56.6	103.12762	29.05942	0	0	0	0	0	0	0
2014	Bastia	0	82.6	44.8	73.36119	18.1604	0	0	0	0	0	0	0
2014	Bastia	0	76.1	62.6	117.79805	27.01796	0	0	0	0	0	0	0
2014	Bastia	0	75.9	25.6	44.6456	34.29533	0	0	0	0	0	0	0
2014	Bastia	0	74.6	67.7	124.87073	30.95884	0	0	0	0	0	0	0
2014	Bastia	0	83.7	49.3	87.54096	16.31502	0	0	0	0	0	0	0
2014	Bastia	0	91.2	41.7	46.67484	12.09669	1	1	0	0	0	0	0
2014	Bastia	0	96.9	65	168.32326	15.31698	0	1	0	0	0	0	0
2014	Bastia	0	97.2	52.6	132.8789	3.82099	1	1	0	0	0	0	0
2014	Bastia	1	99.9	48.2	3.17983	1.80278	1	1	0	0	0	0	0
2014	Bastia	0	85.9	60.4	126.41206	17.52056	0	1	0	0	0	0	0
2014	Bastia	0	84.3	62.1	127.62146	19.82171	0	1	0	0	0	0	0
2014	Bastia	0	81.8	29.8	42.01854	27.1897	0	0	0	0	0	0	0
2014	Bastia	0	93.7	54.7	126.72411	7.86003	1	1	1	0	0	0	0
2014	Bastia	0	89.9	67.2	149.57815	19.94618	0	1	1	0	0	0	0
2014	Bastia	0	94.4	46.4	57.26477	6.65733	1	1	0	0	0	0	1
2014	Bastia	0	75.1	35.8	60.3047	28.66444	0	1	1	0	0	0	0
2014	Bastia	0	75.5	30.5	51.48307	31.31294	0	0	0	0	0	0	0
2014	Bastia	0	79.1	62	119.86283	24.1	0	0	0	0	0	0	0
2014	Bastia	0	81.2	54.6	103.74905	19.35459	0	1	0	0	0	0	0
2014	Bastia	0	81.3	38	57.31125	22.21914	0	0	0	0	0	0	0
2014	Bastia	1	93.6	50.3	92.68378	6.40703	1	1	1	0	0	0	0
2014	Bastia	0	80.3	69.8	135.14505	27.93081	0	0	0	0	0	0	0
2014	Bastia	0	79.5	63.1	122.57957	24.32817	0	0	0	0	0	0	0
2014	Bastia	0	94.2	48.9	79.2611	5.90339	1	1	0	0	0	0	0
2014	Bastia	0	77.7	65	123.92658	26.87545	0	1	0	0	0	0	0
2014	Bastia	0	76.6	73.6	135.24381	33.23432	0	0	0	0	0	0	0
2014	Bastia	1	91.3	62.9	146.00354	15.55956	0	0	0	0	1	0	0
2014	Bastia	0	75.6	50.9	92.11241	24.41659	0	0	0	0	0	0	0
2014	Bastia	0	78.5	67.4	128.98333	27.65881	0	0	0	0	0	0	0
2014	Bastia	0	79.8	76.1	142.26205	33.00379	0	0	0	0	0	0	0
2014	Bastia	0	84.2	72.3	144.68166	27.33002	0	0	0	0	0	0	0
2014	Bastia	0	77.3	70.4	131.94535	30.51967	0	0	0	0	0	0	0
2014	Bastia	0	86.3	62	131.21552	18.21236	0	0	0	0	0	0	0
2014	Bastia	1	72.2	71.2	127.32878	34.96112	0	0	0	0	0	0	0
2014	Bastia	0	87.7	45.2	68.68209	13.20341	1	1	0	0	0	0	0
2014	Bastia	0	75.9	36.6	60.92521	27.57481	0	1	0	0	0	0	0
2014	Bastia	0	88.8	59.8	131.18593	14.8822	0	0	0	0	0	0	0
