kickoff	venue	home_team	away_team	score	home_goals	away_goals	result_1	result_n	result_2	result	home_elo	away_elo	elo_diff	elo_swap	home_1m_elo_diff	away_1m_elo_diff
2012-10-21	Stade de l'Aube	Troyes	Marseille	1 - 0	1	0	1	0	0	1	1458	1702	244	16.1	-17.8396	-6.31799
2012-10-26	Stade Geoffroy-Guichard	St Etienne	Rennes	2 - 0	2	0	1	0	0	1	1626	1637	11	10.3	0.42798	22.99866
2012-10-27	Grand Stade Lille Métropole	Lille	Valenciennes	2 - 1	2	1	1	0	0	1	1707	1615	92	7.4	-23.33691	25.86328
2012-10-27	Stade Auguste Delaune II	Reims	Troyes	1 - 1	1	1	0	1	0	2	1541	1466	75	2.1	5.83484	-8.65552
2012-10-27	Stade Marcel Picot	Nancy	PSG	0 - 1	0	1	0	0	1	3	1543	1772	229	4.2	-29.0033	1.74976
2012-10-27	Stade de la Mosson	Montpellier	Nice	3 - 1	3	1	1	0	0	1	1668	1570	98	7.3	-22.23596	-22.46985
2012-10-27	Stadium Municipal	Toulouse	Brest	3 - 1	3	1	1	0	0	1	1647	1550	97	7.3	16.58362	-13.8075
2012-10-28	Stade du Moustoir	Lorient	Ajaccio	4 - 4	4	4	0	1	0	2	1578	1552	26	0.7	-17.04456	-8.698
2012-10-28	Stade Armand-Cesari-Furiani	Bastia	Bordeaux	3 - 1	3	1	1	0	0	1	1509	1704	195	15.1	6.30066	-7.54419
2012-11-02	Stade Francis-le Blé	Brest	Lorient	2 - 0	2	0	1	0	0	1	1544	1575	31	10.9	-13.33716	-21.81689
2012-11-03	Parc des Princes	PSG	St Etienne	1 - 2	1	2	0	0	1	3	1777	1633	144	13.9	3.20923	12.49158
2012-11-03	Stade de la Route-de-Lorient	Rennes	Reims	1 - 0	1	0	1	0	0	1	1626	1537	89	7.5	-0.16406	-2.9884
2012-11-03	Stade du Ray	Nice	Nancy	2 - 1	2	1	1	0	0	1	1564	1539	25	9.3	-23.43713	-23.35071
2012-11-03	Stade du Hainaut	Valenciennes	Sochaux	3 - 1	3	1	1	0	0	1	1611	1545	66	8.1	5.48682	-12.79578
2012-11-03	Stade de l'Aube	Troyes	Montpellier	1 - 1	1	1	0	1	0	2	1470	1674	204	5.3	4.57153	-26.82776
2012-11-03	Parc des Sports, Annecy	Evian	Lille	0 - 2	0	2	0	0	1	3	1562	1711	149	6	-11.37915	-6.72681
2012-11-04	Stade Francois-Coty	Ajaccio	Marseille	0 - 2	0	2	0	0	1	3	1555	1677	122	6.6	-9.88452	-22.29382
2012-11-04	Stade de Gerland	Lyon	Bastia	5 - 2	5	2	1	0	0	1	1721	1525	196	4.9	6.37268	19.27173
2012-11-04	Stade Jacques Chaban-Delmas	Bordeaux	Toulouse	1 - 0	1	0	1	0	0	1	1689	1653	36	9	-35.96545	15.4176
2012-11-07	Stade Bonal	Sochaux	Evian	2 - 1	2	1	1	0	0	1	1538	1553	15	10.4	-16.84668	-17.93542
2012-11-09	Stade Marcel Picot	Nancy	Rennes	1 - 3	1	3	0	0	1	3	1531	1628	97	7.3	-19.51355	-4.7019
2012-11-10	Grand Stade Lille Métropole	Lille	Brest	1 - 0	1	0	1	0	0	1	1717	1555	162	5.6	2.59326	-2.2843
2012-11-10	Stade Geoffroy-Guichard	St Etienne	Troyes	2 - 0	2	0	1	0	0	1	1648	1475	173	5.4	20.12122	16.54614
2012-11-10	Stade Auguste Delaune II	Reims	Evian	1 - 2	1	2	0	0	1	3	1534	1548	14	9.6	-13.55273	-36.14136
2012-11-10	Stadium Municipal	Toulouse	Ajaccio	2 - 4	2	4	0	0	1	3	1649	1547	102	12.9	14.98206	-13.85754
2012-11-10	Stade Armand-Cesari-Furiani	Bastia	Valenciennes	2 - 3	2	3	0	0	1	3	1522	1619	97	7.3	11.92419	12.32324
2012-11-11	Stade Vélodrome	Marseille	Nice	2 - 2	2	2	0	1	0	2	1687	1571	116	3.2	-15.552	-4.11938
2012-11-11	Stade Bonal	Sochaux	Lyon	1 - 1	1	1	0	1	0	2	1546	1737	191	5	-0.96863	19.32263
2012-11-11	Stade du Moustoir	Lorient	Bordeaux	0 - 4	0	4	0	0	1	3	1567	1698	131	6.4	-29.05859	-14.7323
2012-11-11	Stade de la Mosson	Montpellier	PSG	1 - 1	1	1	0	1	0	2	1665	1768	103	2.9	-24.90405	0.15393
2012-11-16	Stade du Moustoir	Lorient	Lille	2 - 0	2	0	1	0	0	1	1553	1720	167	14.5	-42.46497	5.48865
2012-11-17	Parc des Princes	PSG	Rennes	1 - 2	1	2	0	0	1	3	1767	1643	124	13.4	-0.50476	10.19556
2012-11-17	Stade Francis-le Blé	Brest	Bastia	3 - 0	3	0	1	0	0	1	1552	1515	37	8.9	-5.17957	4.43103
2012-11-17	Parc des Sports, Annecy	Evian	St Etienne	2 - 2	2	2	0	1	0	2	1557	1652	95	2.7	-26.47424	23.9458
2012-11-17	Stade Francois-Coty	Ajaccio	Sochaux	0 - 1	0	1	0	0	1	3	1565	1549	16	10.5	4.26562	2.10999
2012-11-17	Stade du Hainaut	Valenciennes	Montpellier	1 - 1	1	1	0	1	0	2	1626	1666	40	1.1	19.81641	-24.24524
2012-11-17	Stade de l'Aube	Troyes	Nancy	3 - 3	3	3	0	1	0	2	1471	1524	53	1.5	12.72156	-26.57227
2012-11-18	Stade de Gerland	Lyon	Reims	3 - 0	3	0	1	0	0	1	1733	1524	209	4.6	16.24402	-23.21997
2012-11-18	Stade du Ray	Nice	Toulouse	1 - 0	1	0	1	0	0	1	1576	1631	55	11.6	0.98474	-3.14099
2012-11-18	Stade Jacques Chaban-Delmas	Bordeaux	Marseille	1 - 0	1	0	1	0	0	1	1712	1682	30	9.1	-1.32593	-20.65601
2012-11-23	Stade Geoffroy-Guichard	St Etienne	Valenciennes	1 - 0	1	0	1	0	0	1	1659	1632	27	9.2	29.82385	12.62585
2012-11-24	Parc des Princes	PSG	Troyes	4 - 0	4	0	1	0	0	1	1773	1475	298	3	3.37964	4.78308
2012-11-24	Stade Bonal	Sochaux	Nice	0 - 1	0	1	0	0	1	3	1565	1589	24	9.3	15.36609	14.41064
2012-11-24	Stade Marcel Picot	Nancy	Ajaccio	1 - 1	1	1	0	1	0	2	1530	1559	29	0.8	-18.31738	2.39758
2012-11-24	Stade Auguste Delaune II	Reims	Brest	0 - 0	0	0	0	1	0	2	1525	1566	41	1.2	-19.89893	11.89294
2012-11-24	Stade de la Route-de-Lorient	Rennes	Evian	0 - 1	0	1	0	0	1	3	1661	1563	98	12.7	20.89587	-3.24951
2012-11-24	Stade Armand-Cesari-Furiani	Bastia	Lorient	2 - 1	2	1	1	0	0	1	1511	1573	62	11.8	-3.13	-9.96338
2012-11-25	Stade de la Mosson	Montpellier	Bordeaux	1 - 0	1	0	1	0	0	1	1668	1729	61	11.7	-12.7887	19.927
2012-11-25	Stadium Municipal	Toulouse	Lyon	3 - 0	3	0	1	0	0	1	1628	1741	113	13.1	-21.38684	23.05408
