start	name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed	predict	count	ratio
2015	Chris Mavinga	0	268.2	183.2	384.765718048	49.3408961422	1	1	1	0	0	0	0	0.282639694128	3	0.094213231376
2015	Christophe Jallet	0	527.2	215.3	258.721566511	113.790023293	1	5	2	0	0	0	0	0.580706009557	6	0.0967843349261
2015	Christophe Kerbrat	0	182.3	114.9	244.825563661	31.5964194563	1	2	2	0	0	0	0	0.115668718308	2	0.0578343591541
2015	Christopher Maboulou	0	180.6	134.5	303.870110702	40.0054190893	1	1	0	0	0	1	0	0.109714976773	2	0.0548574883864
2015	Claudio Beauvue	3	2696.6	1421.0	2438.51964711	657.98421239	11	10	6	0	0	1	0	2.45052263903	32	0.0765788324697
2015	Clément Chantôme	0	547.0	334.3	576.071363061	169.124742002	0	3	2	0	0	0	0	0.480376420334	7	0.0686252029048
2015	Corentin Jean	1	2104.0	1097.1	1827.54913429	570.370060584	2	6	0	0	1	0	0	1.7075903736	25	0.0683036149438
2015	Corentin Tolisso	1	1373.1	900.7	1645.47112444	390.378279984	3	7	5	0	0	0	0	0.960837300096	17	0.0565198411821
2015	Cédric Yambéré	0	94.3	52.1	110.224859431	6.07453701939	1	1	1	0	0	0	0	0.144354160186	1	0.144354160186
2015	Damien Da Silva	1	447.6	231.8	376.661062802	58.3290549226	3	1	1	0	0	0	0	0.898749169129	5	0.179749833826
2015	Damjan Djokovic	1	1252.2	838.4	1573.82318733	430.948126388	1	3	1	0	0	0	0	0.997541573776	16	0.062346348361
2015	Daniel Congré	1	357.3	178.0	230.300919854	49.2848575809	2	3	2	0	0	0	0	0.566365155142	4	0.141591288785
2015	David Ducourtioux	0	634.5	351.2	635.392064189	295.649343944	0	1	1	0	1	0	0	0.139851202939	9	0.0155390225488
2015	David Luiz	0	324.9	218.0	392.142997645	78.7085890042	2	2	1	0	0	0	0	0.28857891312	4	0.0721447282799
2015	David Ngog	1	527.7	315.2	540.541708425	103.765386487	1	1	0	0	0	0	0	0.885640774746	6	0.147606795791
2015	Didier Bouanga	1	594.0	376.4	643.630706337	176.408174341	0	2	0	0	1	0	0	0.454363732791	7	0.0649091046844
2015	Didier Ibrahim Ndong	1	874.4	510.0	902.462076146	242.9484363	1	7	4	0	0	0	1	0.830969151343	11	0.0755426501221
2015	Diego Rolan	1	782.4	358.8	556.566557986	169.522256337	1	3	0	0	0	1	1	1.03379424226	9	0.114866026918
2015	Djamel Bakar	0	326.2	219.1	420.733346535	93.379391428	1	2	0	0	0	0	0	0.166968226937	4	0.0417420567343
