start	name	team_name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed
2015	Arnold Mvuemba	Lyon	0	73.0	52.8	95.9206207140468	27.14479692316743	0	1	0	0	0	0	0
2015	Atila Turan	Reims	0	73.2	75.6	133.6881122174959	37.062110031675196	0	0	0	0	0	0	0
2015	Atila Turan	Reims	1	94.9	52.6	117.0126653479386	5.724508712544679	0	1	0	0	0	0	0
2015	Atila Turan	Reims	0	84.5	62.8	129.55011389546073	20.101989951246118	0	0	0	0	0	0	0
2015	Atila Turan	Reims	0	77.4	68.7	129.6054993449572	29.333428030150174	0	0	0	0	0	0	0
2015	Baptiste Guillaume	Lille	0	89.6	41.1	49.44410612165271	13.688316185711086	1	1	0	0	0	0	0
2015	Baptiste Guillaume	Lille	0	95.3	65.2	162.8178407035801	15.910059710761619	0	0	0	0	1	0	0
2015	Baptiste Guillaume	Lille	0	87.0	63.6	136.29216688624993	18.813824704190267	0	0	0	0	0	0	0
2015	Baptiste Guillaume	Lille	0	87.1	67.5	143.60448159309266	21.740745157422737	0	0	0	0	0	0	0
2015	Benjamin André	Rennes	0	81.5	49.9	89.69029610004117	18.50027026829608	0	0	0	0	0	0	0
2015	Benjamin Corgnet	St Etienne	0	88.9	57.7	124.74880124918259	13.509256086106292	0	1	0	0	0	0	0
2015	Benjamin Corgnet	St Etienne	0	91.2	27.6	21.447736327105346	24.066574330386118	0	0	0	0	0	0	0
2015	Benjamin Jeannot	Lorient	0	85.6	29.3	34.8244891569568	25.21606630701942	0	0	0	0	0	0	0
2015	Benjamin Jeannot	Lorient	0	90.3	50.6	93.53955916854997	9.718538984847468	1	1	0	0	0	0	0
2015	Benjamin Jeannot	Lorient	0	76.2	37.5	62.29109190516111	26.882894189428338	0	0	0	0	0	0	1
2015	Benjamin Jeannot	Lorient	0	74.0	39.9	68.77076636102365	27.892830620071532	0	0	0	0	0	0	0
2015	Benjamin Jeannot	Lorient	0	73.0	46.6	82.82275414914498	27.21323207559146	0	0	0	0	0	0	0
2015	Benjamin Jeannot	Lorient	0	76.7	29.9	49.21694282916857	30.771740282278476	0	0	0	0	0	0	0
2015	Benjamin Jeannot	Lorient	0	77.6	56.7	106.65229973035416	23.3805474700658	0	0	0	0	0	0	0
2015	Benjamin Jeannot	Lorient	0	74.2	64.3	118.99800637677518	29.4979660315758	0	0	0	0	0	0	0
2015	Benjamin Mendy	Marseille	0	68.9	60.1	107.99166343563687	32.69892964609086	0	1	0	0	0	0	0
2015	Benjamin Mendy	Marseille	0	88.6	56.2	118.53998518795997	12.976902558006673	1	1	0	0	0	0	0
2015	Benjamin Moukandjo	Lorient	0	93.0	49.7	87.54596832547296	7.006425622241343	1	1	0	0	0	0	0
2015	Benjamin Moukandjo	Lorient	0	75.0	69.2	127.52426261445179	31.522055770523597	0	0	0	0	0	0	0
2015	Benjamin Moukandjo	Lorient	0	75.4	50.5	91.16438804012388	24.60508077613239	0	1	0	0	0	0	0
2015	Benjamin Moukandjo	Lorient	0	89.2	45.4	66.92958775017534	11.73882447266335	1	1	0	0	0	0	0
2015	Benjamin Moukandjo	Lorient	0	93.1	52.8	112.08717160322831	7.44647567645259	1	1	0	0	0	0	0
2015	Benjamin Nivet	Troyes	0	75.4	67.7	125.73547601486702	30.305940011819462	0	0	0	0	0	0	0
2015	Benjamin Nivet	Troyes	0	86.4	47.4	79.1769887737929	13.846299144536776	0	0	0	0	0	0	0
2015	Benjamin Pavard	Lille	0	84.9	52.6	99.76970005053126	15.322206107476816	0	1	0	0	0	0	0
2015	Benoit Assou-Ekotto	St Etienne	0	75.8	72.6	133.04193257076597	33.11193138432127	0	0	0	0	0	0	0
2015	Benoit Assou-Ekotto	St Etienne	0	71.4	58.5	106.55209648813391	29.836387180756315	0	0	0	0	0	0	0
2015	Bernardo Silva	Monaco	0	85.3	35.1	44.61287224584906	20.93083849252103	0	0	0	0	0	0	0
2015	Bernardo Silva	Monaco	0	86.6	61.3	130.14038556902756	17.52854814295811	0	0	0	0	0	0	0
2015	Bernardo Silva	Monaco	1	89.3	62.9	140.3257406247677	16.760071598892413	0	0	0	0	0	0	0
2015	Bernardo Silva	Monaco	0	93.5	39.2	31.041709925488615	12.605157674539416	1	1	0	0	0	0	0
2015	Bernardo Silva	Monaco	0	87.7	42.9	60.00492038286022	14.202112518917739	1	1	0	0	0	0	0
