goal	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed
0	153.43495	4.02492	1	1	0	0	0	0	0
0	107.19854	8.79318	0	1	0	0	0	0	0
0	155.95578	35.58792	0	0	0	0	0	0	0
0	83.13001	25.08007	0	0	0	0	0	0	0
0	48.61733	24.65644	0	0	0	0	0	0	0
0	59.55357	15.19539	0	0	0	0	0	0	0
1	156.18433	15.84961	0	0	0	0	0	0	0
0	47.15656	16.91183	0	0	0	0	0	0	0
0	41.08966	27.99589	0	0	0	0	0	0	0
0	105.19525	16.7869	0	1	1	0	0	0	0
0	49.19565	18.36328	0	0	0	0	0	0	0
0	138.65777	31.0345	0	1	0	0	0	0	0
0	56.16488	10.95536	1	0	0	0	0	0	0
0	148.9306	27.90287	0	0	0	0	0	0	0
0	28.31734	23.40021	0	0	0	0	1	0	0
1	110.05609	6.70671	1	1	0	0	0	0	0
0	43.76359	9.83107	0	1	0	0	0	0	0
0	68.92862	36.43638	0	0	0	0	0	0	0
0	141.89242	32.40756	0	0	0	0	0	0	0
0	30.12432	18.72966	0	0	0	0	0	0	0
0	94.93096	25.59473	0	0	0	0	0	0	1
0	145.12467	28.15706	0	0	0	0	0	0	0
0	57.75459	25.30237	0	0	0	0	0	0	0
0	64.19547	10.10792	1	1	1	0	0	0	0
0	111.80141	11.30885	1	1	0	0	0	0	0
0	82.17629	13.22309	0	1	0	0	0	0	0
0	135.54566	14.84992	1	0	0	0	0	0	0
1	60.9454	10.29563	1	0	0	0	0	0	0
0	127.09284	35.98027	0	0	0	0	0	0	0
0	111.80141	11.84736	1	1	0	0	0	0	0
0	107.96144	19.13243	0	0	0	0	0	0	0
0	31.11309	19.73955	0	0	0	0	0	0	0
0	116.39247	14.84756	0	1	0	0	0	0	0
0	150.88385	9.04268	0	1	0	0	0	0	0
0	124.94566	30.37713	0	0	0	0	0	0	0
0	84.27043	30.05012	0	0	0	0	0	0	0
0	172.71404	22.07827	0	0	0	0	0	0	0
0	42.28802	26.90019	0	0	0	0	0	0	0
0	94.1528	30.37976	0	0	0	0	0	0	0
0	102.32473	24.36144	0	0	0	0	0	0	0
0	135.24381	33.23432	0	0	0	0	0	0	0
0	87.19972	18.422	0	0	0	0	0	0	0
0	113.76382	14.64138	0	0	0	0	0	1	0
0	33.07548	23.27101	0	1	0	0	0	0	0
0	59.50017	25.41692	0	0	0	0	0	0	0
0	112.77038	8.78465	1	1	1	0	0	0	0
0	64.2626	27.86431	0	0	0	0	0	0	0
0	143.1301	21	0	0	0	0	0	0	0
0	66.09795	28.87646	0	0	0	0	0	0	0
1	86.2686	4.60977	0	1	1	0	0	0	0
0	80.07375	12.18236	1	0	0	0	0	0	0
0	25.62415	24.51061	0	0	0	0	0	0	0
0	84.53091	9.44299	0	0	0	0	0	1	0
0	51.59872	27.68989	0	0	0	0	0	0	0
0	33.58416	15.00467	1	1	0	0	0	0	0
0	149.70608	22.00477	0	0	0	0	0	0	0
0	108.21982	25.26678	0	0	0	0	0	0	0
0	83.90414	31.07571	0	0	0	0	0	0	0
0	51.71751	30.82937	0	0	0	0	0	0	0
1	60.78679	28.07027	0	0	0	0	0	0	0
0	145.56101	25.46291	0	1	0	0	0	0	0
1	28.02724	29.79413	0	0	0	0	0	0	0
0	95.01985	14.85698	0	0	0	0	0	0	0
0	22.89055	24.42335	0	0	1	0	0	0	0
0	115.48413	35.55981	0	0	0	0	0	0	0
0	125.20015	31.57341	0	0	0	0	0	0	0
0	58.44862	33.44398	0	0	1	0	0	0	0
0	96.08379	32.08068	0	0	0	0	0	0	0
0	42.35745	23.00543	0	0	0	0	0	0	0
0	127.63525	20.96187	0	0	1	0	0	0	0
0	59.4594	11.61077	0	0	1	0	0	0	0
0	41.37852	27.9866	0	0	0	0	0	0	0
0	45.18423	21.99113	0	0	0	0	0	0	0
0	31.10881	20.32265	0	0	0	0	0	0	0
1	111.44774	3.00832	1	0	0	0	0	0	0
0	115.9423	24.68765	0	1	0	0	0	0	0
0	68.66314	13.74191	0	0	0	0	0	0	0
0	145.14554	20.47266	0	0	0	0	0	0	0
0	80.48904	19.36621	0	0	0	0	0	0	0
0	143.9377	24.1224	0	0	0	0	0	0	0
0	119.68523	23.82709	0	0	0	0	0	0	0
0	126.9848	29.92006	0	0	0	0	0	0	0
0	58.7663	29.12078	0	0	0	0	0	0	0
0	157.31003	25.14617	0	0	0	0	0	0	0
0	47.53592	30.36462	0	0	0	0	0	0	0
1	37.67359	9.98098	0	0	0	0	0	0	0
0	28.75712	28.06083	0	0	0	0	0	0	0
0	89.37724	9.20054	1	1	1	0	0	0	0
0	70.03656	24.89598	0	0	0	0	0	0	0
0	99.86581	7.00357	1	1	0	0	0	0	0
0	45.95712	29.63191	0	0	0	0	0	0	1
0	166.31598	11.83596	1	1	1	0	0	0	0
0	70.01689	10.53423	1	1	0	0	0	0	0
0	86.44073	20.94039	0	0	0	0	0	0	0
0	63.9465	15.02698	0	1	0	0	1	0	0
0	127.49589	38.44229	0	0	0	0	0	0	0
0	17.10273	14.96162	0	0	0	0	0	0	0
0	92.09293	30.12009	0	1	0	0	0	0	0
0	83.71311	23.74279	0	0	0	0	0	0	0
1	17.15523	24.07094	0	0	0	0	0	1	0
0	61.99082	15.9706	0	0	0	0	0	0	0
0	118.65345	31.90752	0	0	0	0	0	0	0
0	100.88553	7.94292	1	0	0	0	0	0	0
0	41.20883	23.52743	0	0	0	0	0	0	0
0	76.04966	16.17714	0	0	0	0	0	0	0
0	44.57872	19.23382	0	0	1	0	0	0	0
1	115.5297	7.42496	0	0	0	0	0	0	0
0	145.87506	14.61677	0	0	0	0	0	0	0
0	170.47998	16.32483	0	1	0	0	0	0	0
0	53.93703	35.50352	0	0	0	0	0	0	0
0	65.33619	21.56757	0	0	0	0	0	0	0
0	71.1922	14.57841	0	0	0	0	0	0	0
0	95.92062	27.1448	0	0	0	0	0	0	0
0	130.13549	26.68333	0	0	0	0	0	0	0
0	67.80102	24.08527	0	0	0	0	0	0	0
0	121.89079	5.3	1	1	1	0	0	0	0
0	47.77917	14.58355	0	1	0	0	0	1	0
0	117.37361	22.184	0	0	0	0	0	0	0
0	142.86402	25.84028	0	0	1	0	0	0	0
0	74.81154	30.15328	0	1	1	0	0	0	0
1	50.50548	11.79237	1	1	0	0	0	0	0
0	130.86533	11.7686	0	1	0	0	0	0	0
0	121.15487	25.70778	0	0	0	0	0	0	1
1	30.25644	18.06018	0	0	0	0	0	0	0
0	157.15901	37.86951	0	0	0	0	0	0	0
0	153.35044	30.32111	0	0	0	0	0	0	0
0	63.7469	24.64183	0	0	0	0	0	0	0
0	95.51869	20.79639	0	0	0	0	0	0	0
0	41.84516	17.98777	0	0	0	0	0	0	0
0	143.24632	19.72004	0	0	0	0	0	0	0
0	107.54133	18.24856	0	1	0	0	0	0	0
0	18.20546	23.68565	0	1	0	0	0	0	0
0	29.74488	20.96187	0	1	1	0	0	0	0
0	107.57126	12.5873	1	1	0	0	0	0	0
0	131.4169	37.33751	0	1	1	0	0	0	0
1	153.43495	21.24265	0	0	0	0	0	0	0
0	96.41879	8.05047	0	1	0	0	0	0	0
0	146.30993	7.93221	0	1	0	0	0	0	1
0	99.43319	32.33728	0	0	0	0	0	0	0
0	79.29116	35.51859	0	0	0	0	0	0	0
0	65.1363	27.1131	0	0	0	0	0	0	0
0	83.92754	28.35913	0	0	0	0	0	0	0
0	100.7843	14.96429	0	0	0	0	0	0	0
0	74.6409	24.16299	0	0	0	0	0	0	0
0	137.99909	31.08456	0	1	0	0	0	0	0
0	35.69006	17.48371	0	1	0	0	0	0	0
0	84.7323	14.1598	0	1	0	0	0	0	1
0	101.95882	29.43892	0	0	0	0	0	0	1
0	154.95159	21.96588	0	0	0	0	0	1	0
1	97.22819	20.66422	0	0	0	0	0	0	0
1	48.71529	5.45619	0	0	0	0	0	0	0
0	80.4429	19.87586	0	0	0	0	0	0	0
0	70.31826	27.61322	0	0	0	0	0	0	0
0	145.56101	21.2191	0	0	0	0	1	1	0
0	41.70604	19.6901	0	0	0	0	0	0	0
1	139.39871	7.37564	0	0	0	0	0	0	0
0	124.64911	31.48365	0	0	0	0	0	0	0
0	90.81554	28.10285	0	0	0	0	0	0	0
1	132.03177	9.55877	0	0	0	0	0	0	0
0	87.70939	10.008	1	0	1	0	0	0	0
0	58.32809	29.13984	0	0	1	0	0	0	0
0	110.38615	15.78892	0	0	0	0	0	0	0
0	155.92001	24.75419	0	1	0	0	0	0	0
0	82.36667	9.78673	1	1	0	0	0	0	0
0	142.84646	20.20025	0	0	0	0	0	0	0
0	156.4896	19.30233	0	0	0	0	0	1	0
0	70.67368	22.36001	0	0	0	0	0	0	0
0	95.84457	25.53272	0	0	0	0	1	0	0
1	39.61069	7.52861	0	1	1	0	0	0	0
0	71.2627	23.9704	0	0	0	0	0	0	0
0	114.59012	12.9769	0	0	0	0	0	0	0
0	51.25534	42.18258	0	0	0	0	0	0	0
0	33.78509	50.1727	0	0	0	0	0	0	0
0	150.9454	23.67995	0	0	0	0	0	0	0
1	80.98068	19.13661	0	0	0	0	0	0	0
0	45.27414	14.7787	0	0	0	0	0	0	0
0	130.28407	35.26259	0	0	0	0	0	0	0
0	98.94368	30.87539	0	1	1	0	0	0	0
0	42.28598	31.36001	0	0	0	0	0	0	0
0	162.92359	16.00562	0	0	0	0	0	1	0
0	157.63811	17.08479	0	0	0	0	0	0	0
0	32.07165	27.49636	0	1	0	0	0	0	0
0	66.9564	29.12387	0	0	0	0	0	0	0
0	24.42814	29.98416	0	0	0	0	0	0	0
0	53.6955	18.24089	0	0	0	0	0	0	0
0	108.77803	5.2811	1	1	0	0	0	0	0
0	128.17076	23.78613	0	0	0	0	0	0	0
0	29.78367	18.31993	0	0	0	0	0	0	0
0	25.92131	19.90226	0	1	0	0	0	0	1
0	88.69805	8.80227	0	1	1	0	0	0	0
0	169.24903	16.08229	0	1	0	0	0	0	0
0	54.11786	29.00431	0	0	0	0	0	0	0
0	51.49638	34.37397	0	0	0	0	0	0	0
0	139.95545	24.55769	0	0	0	0	0	0	0
0	148.2486	28.69442	0	0	0	0	0	0	0
0	18.72214	25.23529	0	0	0	0	0	0	0
1	78.84006	14.98332	0	0	0	0	0	0	0
0	112.61986	20.8	0	1	0	0	0	0	0
0	44.8404	25.38523	0	0	0	0	0	0	0
0	77.23137	28.50491	0	0	0	0	0	0	0
0	131.91235	17.06605	0	1	1	0	0	0	0
0	66.33686	9.717	0	1	1	0	0	0	0
0	40.55589	13.68832	0	1	1	0	0	0	0
0	120.96376	11.07881	0	1	0	0	0	0	0
0	77.69946	27.22499	0	0	0	0	0	0	0
0	70.53743	14.10603	0	1	0	0	0	0	0
0	90.6714	25.60176	0	0	0	0	1	0	0
0	79.48737	19.73119	0	0	0	0	0	0	0
0	72.51989	18.9763	0	0	0	0	0	0	0
0	54.61973	25.38858	0	0	0	0	0	0	0
0	63.88609	28.39894	0	0	0	0	0	0	0
0	118.50847	22.4183	0	0	0	0	0	0	0
1	42.84704	9.41116	1	0	0	0	0	0	1
0	92.1211	5.4037	1	1	1	0	0	0	0
0	89.20703	28.90277	0	0	0	0	0	0	0
0	140.54299	33.67432	0	0	0	0	0	0	0
0	127.30395	23.76068	0	0	1	0	0	0	0
0	137.62641	23.14671	0	0	1	0	0	0	0
0	84.88269	26.90725	0	0	1	0	0	0	0
0	110.12345	27.9034	0	0	0	0	0	0	0
0	74.83876	16.05895	0	0	0	0	0	0	0
0	141.18293	17.06986	1	1	1	0	0	0	0
0	90.36494	15.70032	0	0	0	0	0	0	1
0	20.00073	27.77517	0	0	0	0	0	0	0
0	49.19767	15.45639	1	1	1	0	0	0	0
1	103.76079	10.0896	0	1	0	0	0	0	0
0	48.37812	40.80025	0	0	0	0	0	0	0
0	100.88553	10.59056	0	1	0	0	0	0	0
0	55.30485	11.06797	0	0	0	0	0	0	0
0	44.39691	6.71789	0	1	1	0	0	0	0
0	80.7274	9.92975	1	1	1	0	0	0	0
0	157.17794	23.97707	0	1	0	0	0	0	0
0	106.39991	31.16809	0	0	0	0	0	0	1
0	50.96449	9.5268	1	1	0	0	0	0	0
0	132.08157	18.05464	0	0	0	0	1	1	0
0	32.87626	9.76371	0	0	0	0	0	0	0
0	32.67527	17.22614	0	1	1	0	0	0	0
0	30.37913	16.80774	1	1	1	0	0	0	0
0	111.30386	27.79964	0	0	0	0	0	0	0
0	56.84208	35.83518	0	0	0	0	0	0	0
0	101.46131	29.69209	0	1	0	0	0	0	0
1	54.17808	16.40274	0	0	0	0	0	1	0
0	17.74467	18.37417	0	1	0	0	0	0	1
0	100.0975	7.41485	0	1	1	0	0	0	0
0	97.28402	26.81641	0	0	0	0	0	0	0
0	59.50664	20.88923	0	0	0	0	0	0	0
0	69.94976	14.5839	1	1	0	0	0	0	0
0	125.10608	37.03755	0	0	0	0	0	0	0
0	89.3338	8.60058	1	1	0	0	0	0	0
0	152.05459	18.56475	0	0	0	0	0	0	0
0	149.19855	6.05392	0	1	0	0	0	0	0
1	82.37746	27.13982	0	1	0	0	0	0	0
0	144.7152	36.87411	0	0	0	0	0	0	0
0	74.02321	25.06831	0	1	1	0	0	0	0
0	103.5098	31.67649	0	0	0	0	0	0	0
0	38.73942	33.71795	0	0	0	0	0	0	0
0	129.4278	11.65161	1	1	0	0	0	0	0
0	132.27369	5.94643	0	1	0	0	0	0	0
0	120.53473	25.19385	0	0	0	0	0	0	0
1	98.22672	8.3863	0	0	0	0	0	0	0
0	81.62789	26.78544	0	0	0	0	0	0	0
0	94.7968	28.70052	0	0	0	0	0	0	0
1	128.36749	6.12209	1	1	0	0	0	0	0
1	142.56532	18.26089	0	0	0	0	0	0	0
0	41.77896	32.72002	0	0	0	0	0	0	0
0	37.5868	19.1815	0	0	0	0	0	0	1
0	114.5446	32.98015	0	0	0	0	0	0	0
1	59.03624	6.99714	0	1	0	0	0	0	0
0	153.43495	25.49117	0	0	0	0	0	0	0
