day,home_team,away_team,home_score,away_score
10,FC Sochaux-Montbéliard,AS Monaco FC,2 , 1
10,Valenciennes FC,Stade Français,1 , 0
10,CS Sedan,RC Lens,1 , 3
10,OGC Nice,Girondins de Bordeaux,1 , 2
10,RC Strasbourg,Angers SCO,1 , 1
10,Stade Rennais FC,Olympique Lyonnais,5 , 2
10,AS Red Star 93,Toulouse FC,1 , 1
10,Nîmes Olympique,AS Cannes,1 , 1
11,Stade Français,CS Sedan,1 , 1
11,RC Lens,AS Saint-Etienne,2 , 1
11,FC Nantes,AS Red Star 93,7 , 2
11,Toulouse FC,Valenciennes FC,1 , 2
11,AS Monaco FC,RC Strasbourg,0 , 0
11,Girondins de Bordeaux,Stade Rennais FC,2 , 1
11,Olympique Lyonnais,Nîmes Olympique,3 , 1
11,LOSC Lille,OGC Nice,2 , 1
11,Angers SCO,FC Rouen 1899,6 , 0
11,AS Cannes,FC Sochaux-Montbéliard,1 , 1
12,Valenciennes FC,FC Nantes,2 , 2
12,AS Monaco FC,AS Cannes,0 , 0
12,CS Sedan,Girondins de Bordeaux,1 , 1
12,AS Saint-Etienne,LOSC Lille,7 , 4
12,RC Strasbourg,RC Lens,1 , 0
12,FC Sochaux-Montbéliard,Olympique Lyonnais,7 , 2
12,AS Red Star 93,Angers SCO,0 , 2
12,Stade Rennais FC,Stade Français,4 , 3
12,Nîmes Olympique,Toulouse FC,2 , 0
12,OGC Nice,FC Rouen 1899,6 , 0
13,Toulouse FC,Stade Rennais FC,4 , 1
13,Olympique Lyonnais,AS Monaco FC,1 , 0
13,LOSC Lille,AS Red Star 93,3 , 0
13,FC Nantes,CS Sedan,4 , 2
13,FC Rouen 1899,AS Saint-Etienne,2 , 0
13,Girondins de Bordeaux,Valenciennes FC,2 , 0
13,AS Cannes,RC Strasbourg,2 , 1
13,RC Lens,FC Sochaux-Montbéliard,0 , 1
13,Angers SCO,OGC Nice,1 , 0
13,Stade Français,Nîmes Olympique,2 , 1
14,CS Sedan,FC Rouen 1899,4 , 4
14,AS Monaco FC,RC Lens,3 , 0
14,Stade Rennais FC,FC Nantes,2 , 0
14,Valenciennes FC,LOSC Lille,2 , 0
14,AS Saint-Etienne,OGC Nice,5 , 1
14,AS Red Star 93,Girondins de Bordeaux,2 , 0
14,RC Strasbourg,Olympique Lyonnais,0 , 0
14,FC Sochaux-Montbéliard,Stade Français,1 , 0
14,Nîmes Olympique,Angers SCO,1 , 0
14,AS Cannes,Toulouse FC,5 , 3
15,FC Nantes,Nîmes Olympique,4 , 1
15,FC Rouen 1899,Valenciennes FC,1 , 3
15,Girondins de Bordeaux,AS Saint-Etienne,4 , 0
15,Toulouse FC,AS Monaco FC,5 , 1
15,Stade Français,RC Strasbourg,0 , 2
15,LOSC Lille,CS Sedan,1 , 1
15,Olympique Lyonnais,AS Cannes,2 , 0
15,RC Lens,Stade Rennais FC,4 , 1
15,Angers SCO,FC Sochaux-Montbéliard,2 , 2
15,OGC Nice,AS Red Star 93,4 , 0
16,AS Monaco FC,Stade Français,3 , 1
16,FC Sochaux-Montbéliard,FC Nantes,3 , 1
16,Valenciennes FC,OGC Nice,4 , 2
16,Nîmes Olympique,Girondins de Bordeaux,1 , 1
16,CS Sedan,AS Saint-Etienne,4 , 1
16,Olympique Lyonnais,Angers SCO,2 , 1
16,RC Strasbourg,Toulouse FC,2 , 2
16,AS Cannes,RC Lens,1 , 1
16,Stade Rennais FC,LOSC Lille,4 , 0
16,AS Red Star 93,FC Rouen 1899,0 , 1
17,FC Nantes,RC Strasbourg,2 , 0
17,AS Saint-Etienne,Valenciennes FC,5 , 1
17,Girondins de Bordeaux,FC Sochaux-Montbéliard,4 , 2
17,Angers SCO,AS Monaco FC,1 , 1
17,OGC Nice,CS Sedan,1 , 0
17,RC Lens,AS Red Star 93,3 , 0
17,Toulouse FC,Olympique Lyonnais,1 , 0
17,FC Rouen 1899,Stade Rennais FC,2 , 2
17,LOSC Lille,Nîmes Olympique,1 , 2
17,Stade Français,AS Cannes,3 , 1
18,AS Monaco FC,FC Nantes,1 , 3
18,Valenciennes FC,CS Sedan,0 , 4
18,RC Strasbourg,Girondins de Bordeaux,3 , 0
18,AS Red Star 93,AS Saint-Etienne,1 , 5
18,Olympique Lyonnais,Stade Français,2 , 0
18,FC Sochaux-Montbéliard,LOSC Lille,1 , 0
18,Toulouse FC,RC Lens,4 , 1
18,AS Cannes,Angers SCO,2 , 5
18,Stade Rennais FC,OGC Nice,3 , 0
18,Nîmes Olympique,FC Rouen 1899,2 , 1
19,FC Nantes,AS Cannes,1 , 0
19,Angers SCO,Valenciennes FC,0 , 1
19,Girondins de Bordeaux,AS Monaco FC,5 , 0
19,AS Saint-Etienne,Stade Rennais FC,4 , 0
19,CS Sedan,AS Red Star 93,5 , 2
19,RC Lens,Olympique Lyonnais,2 , 1
19,FC Rouen 1899,FC Sochaux-Montbéliard,1 , 1
19,LOSC Lille,RC Strasbourg,2 , 1
19,Stade Français,Toulouse FC,2 , 0
19,OGC Nice,Nîmes Olympique,4 , 1
20,Olympique Lyonnais,FC Nantes,0 , 2
20,Valenciennes FC,AS Red Star 93,1 , 0
20,Girondins de Bordeaux,AS Cannes,1 , 0
20,Nîmes Olympique,AS Saint-Etienne,1 , 1
20,Stade Rennais FC,CS Sedan,4 , 2
20,LOSC Lille,AS Monaco FC,2 , 1
20,FC Rouen 1899,RC Strasbourg,0 , 0
20,Stade Français,RC Lens,3 , 1
20,OGC Nice,FC Sochaux-Montbéliard,3 , 1
20,Angers SCO,Toulouse FC,2 , 0
21,Toulouse FC,LOSC Lille,2 , 0
21,RC Lens,FC Nantes,1 , 1
21,Stade Rennais FC,Valenciennes FC,1 , 1
21,Olympique Lyonnais,Girondins de Bordeaux,1 , 4
21,AS Monaco FC,AS Saint-Etienne,1 , 1
21,FC Sochaux-Montbéliard,CS Sedan,0 , 1
21,RC Strasbourg,OGC Nice,1 , 3
21,Stade Français,Angers SCO,2 , 1
21,AS Cannes,FC Rouen 1899,1 , 2
