"goal";"degree";"distance";"start_x";"start_y";"shot_headed";"crosses";"corner";"pass_throw_in";"pass_long_ball";"pass_through_ball";"pass_headed"
1;94.1512852664217;12.4326183887386;87.6;50.9;0;0;0;0;0;0;0
0;46.3118877825041;18.5310550158376;86.6;37.2;0;0;0;0;0;0;0
0;122.005383208084;12.2641754716736;89.6;56.5;0;1;1;0;0;0;0
0;127.339524665534;12.200409829182;90.3;57.4;0;1;1;0;0;0;0
0;65.8651415709692;16.8751296291317;84.6;43.1;0;0;0;0;0;0;0
0;78.3032301814202;26.142876658853;74.4;44.7;0;0;0;0;0;0;0
1;56.1951114263;13.8397976863826;88.5;42.3;0;0;0;0;0;0;0
0;53.9537046276341;22.2622999710273;82;36.9;0;0;0;0;0;0;0
0;68.1985905136482;9.69329665284211;91;46.4;1;1;1;0;0;0;0
0;73.6917686646184;23.8600083822282;77.1;43.3;0;0;0;0;0;0;0
0;59.8264799703557;29.8435922770701;74.2;35;0;0;0;0;0;0;0
0;73.2287761813696;15.2486064937095;85.4;45.6;0;1;0;0;0;0;0
0;126.869897645844;29.5;76.4;67.7;0;1;0;0;0;0;0
0;65.4831684088295;32.5332137975946;70.4;36.5;0;0;0;0;0;0;0
0;105.367431764633;31.3198020427971;69.8;58.3;0;0;0;0;0;0;0
0;42.978635059644;12.0282999630039;91.8;41.2;0;0;0;0;0;1;0
0;113.763822019328;29.282759432813;73.2;61.8;0;0;0;0;0;0;0
0;9.21102654081667;18.7416648139913;97;31.5;0;1;0;0;0;0;0
0;95.4403320310055;18.9855207987561;81.1;51.8;0;1;0;0;0;0;0
0;64.8851651138554;14.1364776376578;87.2;44;1;1;0;0;0;0;0
1;68.1985905136482;4.84664832642105;95.5;48.2;0;1;0;0;0;0;0
0;100.22900828736;27.029613389762;73.4;54.8;0;1;0;0;0;0;0
0;27.0438348473733;16.0555286428071;92.7;35.7;0;1;0;0;0;0;0
0;112.833654177918;28.8617393793236;73.4;61.2;0;0;0;0;0;0;0
0;50.4861564250043;12.5733845880892;90.3;42;0;1;1;0;0;0;0
0;119.744881296942;8.86848352312841;92.3;54.4;1;1;1;0;0;0;0
0;149.252779774539;22.6894248494756;88.4;69.5;0;1;0;0;0;0;0
1;126.209456817186;13.8809221595685;88.8;58.2;0;0;0;0;0;1;0
0;66.5014343240479;10.0319489631876;90.8;46;1;1;0;0;0;0;0
0;138.399714159123;28.6174771774173;81;71.4;0;0;0;0;0;0;0
0;139.856603933943;10.8577161502776;93;58.3;1;1;0;0;0;0;0
0;71.6836758098868;15.2738338343718;85.5;45.2;0;0;0;0;0;0;0
1;130.431592721365;29.2965868319161;77.7;69;0;0;0;0;0;0;0
0;109.681739173756;27.6132214708824;74;59.3;0;1;0;0;0;0;0
0;117.155708391725;21.6910119634839;80.7;59.9;0;0;0;0;0;0;0
0;77.9694039034621;24.9479458072203;75.6;44.8;0;0;0;0;0;0;0
1;111.412969474872;10.9562767398419;89.8;54;1;1;0;0;0;0;0
0;159.904768808095;8.73155198117723;97;58.2;1;1;1;0;0;0;0
0;131.566369637549;14.1675685987399;89.4;59.4;0;1;0;0;0;0;0
1;171.694323794444;13.8452157801892;98;63.7;0;0;0;0;0;0;0
0;6.72247651183449;26.4820694055431;96.9;23.7;0;0;0;0;0;0;0
0;46.4119340386036;40.1758634008032;70.9;22.3;0;0;0;0;0;0;0
0;84.5164095555355;12.5574678976297;87.5;48.8;0;0;0;0;0;1;0
0;152.396020069381;17.2652830848498;92;65.3;0;0;0;0;0;1;0
0;54.1805419576262;28.364766877237;77;33.4;0;0;1;0;0;0;0
0;75.4735954715375;25.5156814527851;75.3;43.6;0;0;0;0;0;0;0
0;81.404088563079;26.0931025368774;74.2;46.1;0;1;1;0;0;0;0
