"first_name";"last_name";"goal";"start_x";"start_y";"degree";"distance";"shot_headed";"crosses";"corner";"pass_throw_in";"pass_long_ball";"pass_through_ball";"pass_headed"
"Adrien";"Hunou";0;96.5;34.6;12.8042660652868;15.7927198417499;0;0;0;0;1;0;0
"Kamil";"Grosicki";0;97;67.6;170.326644567597;17.8538511251774;0;0;0;0;0;0;0
"Edson Andre";"Sitoe";0;71.4;49.3;88.5979356709586;28.6085651510173;0;0;0;0;0;0;0
"Giovanni";"Sio";0;92.8;38.5;32.0501455267212;13.5679770046975;1;1;1;0;0;0;0
"Paul-Georges";"Ntep de Madiba";0;71.9;49.1;88.1655309676082;28.1144091170346;0;0;0;0;0;0;0
"Giovanni";"Sio";0;89.5;63.7;142.532601400947;17.2609385608083;0;0;0;0;0;0;0
"Pedro";"Henrique";0;90.3;37.6;38.0345815099449;15.7432525229064;0;0;0;0;0;0;0
"Giovanni";"Sio";1;78.2;67.6;128.915306134731;28.0178514522438;0;0;0;0;0;0;1
"Yoann";"Gourcuff";0;73.4;57.3;105.346208895809;27.5835095664058;0;1;0;0;0;0;0
"Kermit";"Erasmus";0;87.2;40.5;53.4176571770132;15.9402007515589;1;1;0;0;0;0;0
"Paul-Georges";"Ntep de Madiba";0;86.3;75;151.277258715005;28.5077182531328;0;0;0;0;0;0;0
"Gelson";"Fernandes";0;87.1;66.9;142.645013271671;21.2607619807005;0;0;0;0;0;0;0
"Paul-Georges";"Ntep de Madiba";0;91.9;51.1;97.7335980990229;8.17435012707432;1;1;0;0;0;0;0
"Wesley";"Said";0;87.2;69.9;147.250224266673;23.661149591683;0;0;0;0;0;0;0
"Wesley";"Said";0;74.4;73.6;132.672184910959;34.818385947657;0;0;0;0;0;0;0
"Pedro";"Henrique";0;76.9;72.4;134.118596003418;32.1771658167714;0;0;0;0;0;0;0
