start;day;home;away;first_t1;first_t2;second_t1;second_t2;t1_rank;t2_rank;result_first_t1;result_first_t2;result_second_t1;result_second_t2;result_projection_second_t1;result_projection_second_t2
2013;16;Montpellier Hérault SC;FC Lorient;0;2;4;4;17;9;0;3;1;1;0.9;1.81
2013;16;FC Sochaux-Montbéliard;Stade de Reims;0;2;1;0;19;7;0;3;3;0;0.9;1.81
2013;16;FC Nantes;Valenciennes FC;2;1;6;2;8;18;3;0;3;0;1.14;1.16
2013;16;LOSC Lille;Olympique de Marseille;1;0;0;0;3;6;3;0;1;1;1.14;1.16
2013;16;Evian TG FC;Paris Saint-Germain;2;0;0;1;16;1;3;0;0;3;1.14;1.16
2013;16;Olympique Lyonnais;Toulouse FC;1;1;0;0;10;12;1;1;1;1;1;1.67
2013;17;Olympique de Marseille;FC Nantes;0;1;1;1;6;8;0;3;1;1;0.9;1.81
2013;17;AS Monaco FC;AC Ajaccio;1;0;4;1;2;20;3;0;3;0;1.14;1.16
2013;17;AS Saint-Etienne;Evian TG FC;1;0;2;1;4;16;3;0;3;0;1.14;1.16
2013;17;Valenciennes FC;EA Guingamp;1;1;0;1;18;13;1;1;0;3;1;1.67
2013;17;Toulouse FC;Montpellier Hérault SC;1;1;1;2;12;17;1;1;0;3;1;1.67
2013;17;Stade de Reims;OGC Nice;1;0;0;1;7;14;3;0;0;3;1.14;1.16
2013;17;FC Lorient;Stade Rennais FC;2;0;1;1;9;15;3;0;1;1;1.14;1.16
2013;17;Paris Saint-Germain;FC Sochaux-Montbéliard;5;0;1;1;1;19;3;0;1;1;1.14;1.16
2013;17;SC Bastia;Olympique Lyonnais;1;3;1;4;11;10;0;3;0;3;0.9;1.81
2013;17;Girondins de Bordeaux;LOSC Lille;1;0;1;2;5;3;3;0;0;3;1.14;1.16
2013;18;LOSC Lille;SC Bastia;2;1;1;1;3;11;3;0;1;1;1.14;1.16
2013;18;Montpellier Hérault SC;AS Saint-Etienne;0;1;0;2;17;4;0;3;0;3;0.9;1.81
2013;18;AC Ajaccio;FC Lorient;1;2;0;1;20;9;0;3;0;3;0.9;1.81
2013;18;Evian TG FC;Stade de Reims;1;1;0;1;16;7;1;1;0;3;1;1.67
2013;18;OGC Nice;FC Sochaux-Montbéliard;1;0;0;2;14;19;3;0;0;3;1.14;1.16
2013;18;FC Nantes;Toulouse FC;1;2;1;1;8;12;0;3;1;1;0.9;1.81
2013;18;Girondins de Bordeaux;Valenciennes FC;2;1;1;0;5;18;3;0;3;0;1.14;1.16
2013;18;Olympique Lyonnais;Olympique de Marseille;2;2;2;4;10;6;1;1;0;3;1;1.67
2013;18;EA Guingamp;AS Monaco FC;0;2;1;1;13;2;0;3;1;1;0.9;1.81
2013;18;Stade Rennais FC;Paris Saint-Germain;1;3;2;1;15;1;0;3;3;0;0.9;1.81
2013;19;Stade de Reims;AC Ajaccio;4;1;1;2;7;20;3;0;0;3;1.14;1.16
2013;19;Olympique de Marseille;Girondins de Bordeaux;2;2;1;1;6;5;1;1;1;1;1;1.67
2013;19;OGC Nice;Evian TG FC;3;1;0;2;14;16;3;0;0;3;1.14;1.16
2013;19;Toulouse FC;EA Guingamp;0;0;0;2;12;13;1;1;0;3;1;1.67
2013;19;Paris Saint-Germain;LOSC Lille;2;2;3;1;1;3;1;1;3;0;1;1.67
2013;19;FC Lorient;Olympique Lyonnais;2;2;1;0;9;10;1;1;3;0;1;1.67
2013;19;SC Bastia;Montpellier Hérault SC;0;0;2;0;11;17;1;1;3;0;1;1.67
2013;19;AS Saint-Etienne;FC Nantes;2;0;3;1;4;8;3;0;3;0;1.14;1.16
2013;19;FC Sochaux-Montbéliard;Stade Rennais FC;2;1;2;1;19;15;3;0;3;0;1.14;1.16
2013;19;AS Monaco FC;Valenciennes FC;1;2;2;1;2;18;0;3;3;0;0.9;1.81
