2017-01-15 19:03:56,604 - INFO    - START
/home/dam/www/saf/script/expg_nn/project/nn/regularization_5.py:106: RuntimeWarning: overflow encountered in exp
  return 1/(1+np.exp(-values))
2017-01-15 19:47:31,251 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 100, reg_lambda: 1e-05 -> 0.0188386201181 (445.0 goals/372.321902516 expg)
2017-01-15 19:47:45,277 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 500, reg_lambda: 1 -> 0.0532922856619 (445.0 goals/275.130601985 expg)
2017-01-15 19:47:58,145 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 500, reg_lambda: 0.1 -> 0.0268514913169 (445.0 goals/319.48371173 expg)
2017-01-15 19:48:10,935 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 500, reg_lambda: 0.01 -> 0.00790976947418 (445.0 goals/414.727274918 expg)
2017-01-15 19:48:24,218 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 500, reg_lambda: 0.001 -> 0.0235822625019 (445.0 goals/364.028156956 expg)
2017-01-15 19:48:37,694 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 500, reg_lambda: 0.0001 -> 0.019922796888 (445.0 goals/351.871655566 expg)
2017-01-15 19:48:50,648 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 500, reg_lambda: 1e-05 -> 0.018075748336 (445.0 goals/361.130102663 expg)
2017-01-15 19:49:17,008 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 1000, reg_lambda: 1 -> 0.160343964316 (445.0 goals/824.114278703 expg)
2017-01-15 19:49:43,127 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 1000, reg_lambda: 0.1 -> 0.00886576918673 (445.0 goals/413.868846313 expg)
2017-01-15 19:50:08,387 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 1000, reg_lambda: 0.01 -> 0.0314102428974 (445.0 goals/312.524169746 expg)
2017-01-15 19:50:34,227 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 1000, reg_lambda: 0.001 -> 0.0239902745424 (445.0 goals/338.938152027 expg)
2017-01-15 19:50:59,866 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 1000, reg_lambda: 0.0001 -> 0.0138957493485 (445.0 goals/434.140151912 expg)
2017-01-15 19:51:25,733 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 1000, reg_lambda: 1e-05 -> 0.0147122968001 (445.0 goals/397.802748593 expg)
2017-01-15 19:52:15,467 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 2000, reg_lambda: 1 -> 0.169108818794 (445.0 goals/783.147348872 expg)
2017-01-15 19:53:06,940 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 2000, reg_lambda: 0.1 -> 0.0254871589735 (445.0 goals/325.862115911 expg)
2017-01-15 19:53:58,560 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 2000, reg_lambda: 0.01 -> 0.00458609795909 (445.0 goals/423.562939287 expg)
2017-01-15 19:54:49,741 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 2000, reg_lambda: 0.001 -> 0.00463476905876 (445.0 goals/423.335447647 expg)
2017-01-15 19:55:40,984 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 2000, reg_lambda: 0.0001 -> 0.00463221152544 (445.0 goals/423.347403299 expg)
2017-01-15 19:56:32,533 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 2000, reg_lambda: 1e-05 -> 0.00462689801912 (445.0 goals/423.37224078 expg)
2017-01-15 19:58:12,265 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 4000, reg_lambda: 1 -> 0.166676266538 (445.0 goals/794.517098115 expg)
2017-01-15 19:59:56,992 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 4000, reg_lambda: 0.1 -> 0.0120998938466 (445.0 goals/388.44297328 expg)
2017-01-15 20:01:38,378 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 4000, reg_lambda: 0.01 -> 0.00555570942975 (445.0 goals/419.03066201 expg)
2017-01-15 20:03:18,891 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 4000, reg_lambda: 0.001 -> 0.00524379217511 (445.0 goals/420.488680411 expg)
2017-01-15 20:05:44,483 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 4000, reg_lambda: 0.0001 -> 0.00519879103076 (445.0 goals/420.699032635 expg)
2017-01-15 20:08:17,178 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 4000, reg_lambda: 1e-05 -> 0.00518778955539 (445.0 goals/420.750457316 expg)
2017-01-15 20:08:21,642 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 100, reg_lambda: 1 -> 0.00345746093863 (445.0 goals/429.502662352 expg)
2017-01-15 20:08:25,889 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 100, reg_lambda: 0.1 -> 0.00221000311738 (445.0 goals/440.854024277 expg)
2017-01-15 20:08:29,912 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 100, reg_lambda: 0.01 -> 0.00216161758762 (445.0 goals/441.958177563 expg)
2017-01-15 20:08:33,883 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 100, reg_lambda: 0.001 -> 0.0021567941175 (445.0 goals/442.068265159 expg)
2017-01-15 20:08:37,640 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 100, reg_lambda: 0.0001 -> 0.00215631192186 (445.0 goals/442.079270626 expg)
2017-01-15 20:08:41,852 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 100, reg_lambda: 1e-05 -> 0.00215626370381 (445.0 goals/442.08037114 expg)
2017-01-15 20:09:00,046 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 500, reg_lambda: 1 -> 0.0139797348411 (445.0 goals/379.653279689 expg)
2017-01-15 20:09:16,060 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 500, reg_lambda: 0.1 -> 0.00530490803657 (445.0 goals/420.202865548 expg)
2017-01-15 20:09:35,380 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 500, reg_lambda: 0.01 -> 0.00473848515282 (445.0 goals/422.850552159 expg)
2017-01-15 20:09:56,752 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 500, reg_lambda: 0.001 -> 0.00468389943148 (445.0 goals/423.10570761 expg)
2017-01-15 20:10:16,824 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 500, reg_lambda: 0.0001 -> 0.00467846051075 (445.0 goals/423.131131297 expg)
2017-01-15 20:10:38,680 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 500, reg_lambda: 1e-05 -> 0.0046779168143 (445.0 goals/423.133672751 expg)
2017-01-15 20:11:21,179 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 1000, reg_lambda: 1 -> 0.0155482732364 (445.0 goals/372.321242902 expg)
2017-01-15 20:11:58,341 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 1000, reg_lambda: 0.1 -> 0.00351049831902 (445.0 goals/429.548601157 expg)
2017-01-15 20:12:36,547 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 1000, reg_lambda: 0.01 -> 0.00328952783747 (445.0 goals/431.289878485 expg)
2017-01-15 20:13:25,371 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 1000, reg_lambda: 0.001 -> 0.00326824762334 (445.0 goals/431.45652411 expg)
2017-01-15 20:14:08,295 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 1000, reg_lambda: 0.0001 -> 0.00326612698312 (445.0 goals/431.473121796 expg)
2017-01-15 20:14:45,509 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 1000, reg_lambda: 1e-05 -> 0.00326591499218 (445.0 goals/431.474780903 expg)
2017-01-15 20:16:03,077 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 2000, reg_lambda: 1 -> 0.00886127507933 (445.0 goals/403.578847517 expg)
2017-01-15 20:17:22,145 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 2000, reg_lambda: 0.1 -> 0.00260498104181 (445.0 goals/437.136152727 expg)
2017-01-15 20:18:31,146 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 2000, reg_lambda: 0.01 -> 0.00252029218056 (445.0 goals/437.71386749 expg)
2017-01-15 20:19:37,182 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 2000, reg_lambda: 0.001 -> 0.00251143399193 (445.0 goals/437.775379336 expg)
2017-01-15 20:20:45,565 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 2000, reg_lambda: 0.0001 -> 0.00251054436832 (445.0 goals/437.781565625 expg)
2017-01-15 20:21:52,764 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 2000, reg_lambda: 1e-05 -> 0.00251045536807 (445.0 goals/437.782184603 expg)
