2017-02-26 21:20:54,938 - INFO    - START
project/nn_xval.py:47: RuntimeWarning: invalid value encountered in absolute
  acc = np.abs(np.mean(y_test - y_test_predict))

2017-02-26 21:32:19,859 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 2000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:32:32,568 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 2000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:32:45,316 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 2000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:33:10,388 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 4000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:33:36,782 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 4000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:34:01,441 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 4000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:34:26,379 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 4000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:34:51,198 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 4000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:11,258 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.01, itera: 4000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:12,190 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 100, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:13,095 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 100, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:14,003 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 100, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:14,933 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 100, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:15,843 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 100, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:16,752 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 100, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:20,104 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 500, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:23,108 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 500, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:25,872 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 500, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:28,621 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 500, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:31,370 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 500, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:34,186 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 500, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:40,173 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 1000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:46,278 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 1000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:52,237 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 1000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:35:58,949 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 1000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:36:04,263 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 1000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:36:09,297 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 1000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:36:18,867 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 2000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:36:28,562 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 2000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:36:38,073 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 2000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:36:51,736 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 2000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:37:04,487 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 2000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:37:17,280 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 2000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:37:42,293 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 4000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:38:06,853 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 4000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:38:31,653 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.001, itera: 4000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
