"start","day","name","home_avg","away_avg"
1934,9,"FC Sochaux-Montbéliard",1.5,3
1934,9,"FC Sochaux-Montbéliard",1.5,3
1934,9,"FC Sochaux-Montbéliard",1.5,3
1934,9,"Olympique de Marseille",2,1.5
1934,9,"Olympique de Marseille",2,2
1934,9,"Olympique de Marseille",2,1.5
1934,9,"Olympique de Marseille",2,0
1934,9,"Olympique de Marseille",2,0.5
1934,10,"RC Paris",3,0
1934,10,"RC Paris",3,3
1934,10,"RC Paris",3,0
1934,10,"RC Paris",3,0
1934,10,"RC Paris",3,1.5
1934,10,"RC Paris",3,1.5
1934,11,"RC Strasbourg",3,0.5
1934,11,"SC Nîmois",0.5,0
1934,11,"SC Nîmois",0.5,1.5
1934,11,"SC Nîmois",0.5,0.5
1934,11,"SC Nîmois",0.5,0
1934,11,"SC Nîmois",0.5,0.5
1934,11,"SC Nîmois",0.5,0
1934,11,"SC Nîmois",0.5,0
1934,11,"SC Nîmois",0.5,1.5
1934,11,"AS Cannes",3,2
1934,11,"AS Cannes",3,1
1934,11,"AS Cannes",3,1.5
1934,11,"AS Cannes",3,0
1934,11,"AS Cannes",3,0.5
1934,11,"AS Cannes",3,0
1934,11,"RC Strasbourg",3,1.5
1934,11,"RC Strasbourg",3,0.5
1934,11,"RC Strasbourg",3,3
1934,11,"RC Strasbourg",3,2
1934,11,"RC Strasbourg",3,3
1934,12,"SC Nîmois",0.5,1.5
1934,12,"SC Nîmois",0.5,0
1934,12,"SC Nîmois",0.5,0.5
1934,12,"SC Nîmois",0.5,0.5
1934,12,"SC Nîmois",0.5,1.5
1934,12,"SC Nîmois",0.5,0
1934,12,"SC Nîmois",0.5,0
1934,12,"SC Nîmois",0.5,0
1934,13,"FC Antibes",1,1.5
1934,13,"FC Antibes",1,0
1934,13,"RC Paris",3,3
1934,13,"Olympique d'Alès",0.5,0
1934,13,"Olympique d'Alès",0.5,0
1934,13,"Olympique d'Alès",0.5,1.5
1934,13,"FC Antibes",1,0.5
1934,13,"FC Antibes",1,1.5
1934,13,"FC Antibes",1,0
1934,13,"FC Antibes",1,0
1934,13,"RC Paris",3,0
1934,13,"Olympique d'Alès",0.5,0.5
1934,13,"RC Paris",3,0
1934,13,"RC Paris",3,0
1934,13,"RC Paris",3,1.5
1934,13,"RC Paris",3,1.5
1934,13,"SC Fives",2,0
1934,13,"Olympique d'Alès",0.5,0
1934,13,"Olympique d'Alès",0.5,1.5
1934,13,"SC Fives",2,0
1934,13,"SC Fives",2,1.5
1934,13,"SC Fives",2,3
1934,14,"FC Antibes",2,1.5
1934,14,"FC Antibes",2,0
1934,14,"FC Antibes",2,1.5
1934,14,"Olympique d'Alès",2,0
1934,14,"Olympique d'Alès",2,1.5
1934,14,"Olympique d'Alès",2,0
1934,14,"Olympique d'Alès",2,0.5
1934,14,"Olympique d'Alès",2,0
1934,14,"Olympique d'Alès",2,1.5
1934,14,"RC Strasbourg",3,3
1934,14,"RC Strasbourg",3,3
1934,14,"RC Strasbourg",3,0.5
1934,14,"RC Strasbourg",3,2
1934,14,"RC Strasbourg",3,1.5
1934,14,"RC Strasbourg",3,0.5
1934,14,"FC Antibes",2,0
1934,14,"FC Antibes",2,0
1934,14,"FC Antibes",2,0.5
1934,15,"Olympique de Marseille",1.5,2
1934,15,"Olympique de Marseille",1.5,0
1934,15,"Olympique de Marseille",1.5,1.5
1934,15,"Olympique de Marseille",1.5,1.5
1934,15,"Olympique de Marseille",1.5,0.5
1934,16,"FC Sète 34",3,0
1934,16,"FC Sète 34",3,3
1934,16,"SC Fives",3,1.5
1934,16,"SC Fives",3,0
1934,16,"SC Fives",3,3
1934,16,"SC Fives",3,0
1934,16,"SC Nîmois",2,0
1934,16,"SC Nîmois",2,1.5
1934,16,"SC Nîmois",2,0.5
1934,16,"SC Nîmois",2,1.5
1934,16,"SC Nîmois",2,0
1934,16,"SC Nîmois",2,0
1934,16,"SC Nîmois",2,0
1934,16,"SC Nîmois",2,0.5
1934,16,"Olympique de Marseille",3,2
1934,16,"Olympique de Marseille",3,1.5
1934,16,"Olympique de Marseille",3,0.5
1934,16,"Olympique de Marseille",3,0
1934,16,"Olympique de Marseille",3,1.5
1934,16,"AS Cannes",0,1
1934,16,"AS Cannes",0,0
1934,16,"AS Cannes",0,1.5
1934,16,"AS Cannes",0,0.5
1934,16,"AS Cannes",0,2
1934,16,"AS Cannes",0,0
1934,16,"Stade Rennais FC",2,1
1934,16,"Stade Rennais FC",2,0
1934,16,"EAC Roubaix",1.5,0.5
1934,16,"Stade Rennais FC",2,0
1934,16,"Stade Rennais FC",2,0
1934,16,"Stade Rennais FC",2,0
1934,16,"Stade Rennais FC",2,0
1934,16,"EAC Roubaix",1.5,3
1934,16,"EAC Roubaix",1.5,1
1934,16,"FC Sète 34",3,0
1934,16,"FC Sète 34",3,2
1934,16,"EAC Roubaix",1.5,3
1934,16,"EAC Roubaix",1.5,1.5
1934,16,"EAC Roubaix",1.5,1.5
1934,17,"AS Red Star 93",0.5,0.5
1934,17,"AS Red Star 93",0.5,1
1934,17,"AS Red Star 93",0.5,0
1934,17,"AS Red Star 93",0.5,1.5
1934,17,"AS Red Star 93",0.5,0.5
1934,17,"AS Red Star 93",0.5,1.5
1934,18,"AS Red Star 93",1.5,0.5
1934,18,"FC Sochaux-Montbéliard",2,3
1934,18,"FC Sochaux-Montbéliard",2,3
1934,18,"FC Sochaux-Montbéliard",2,2
1934,18,"FC Sochaux-Montbéliard",2,3
1934,18,"FC Sochaux-Montbéliard",2,2
1934,18,"FC Sochaux-Montbéliard",2,3
1934,18,"RC Strasbourg",2,3
1934,18,"RC Strasbourg",2,0.5
1934,18,"RC Strasbourg",2,3
1934,18,"RC Strasbourg",2,0.5
1934,18,"RC Strasbourg",2,2
1934,18,"RC Strasbourg",2,1.5
1934,18,"Olympique Lillois",3,0
1934,18,"Olympique Lillois",3,0
1934,18,"Olympique Lillois",3,2
1934,18,"Olympique Lillois",3,1.5
1934,18,"FC Antibes",1.5,0.5
1934,18,"FC Antibes",1.5,0
1934,18,"FC Antibes",1.5,0
1934,18,"FC Antibes",1.5,0
1934,18,"FC Antibes",1.5,1.5
1934,18,"FC Antibes",1.5,1.5
1934,18,"Olympique d'Alès",3,0
1934,18,"Olympique d'Alès",3,0.5
1934,18,"Olympique d'Alès",3,1.5
1934,18,"Olympique d'Alès",3,1.5
1934,18,"Olympique d'Alès",3,0
1934,18,"Olympique d'Alès",3,0
1934,18,"SO Montpellier",1.5,0
1934,18,"SO Montpellier",1.5,1.5
1934,18,"SO Montpellier",1.5,0
1934,18,"SO Montpellier",1.5,0
1934,18,"FC Mulhouse",3,3
1934,18,"FC Mulhouse",3,1.5
1934,18,"FC Mulhouse",3,0
1934,18,"FC Mulhouse",3,0
1934,18,"AS Red Star 93",1.5,1
1934,18,"AS Red Star 93",1.5,0.5
1934,18,"AS Red Star 93",1.5,0
1934,18,"AS Red Star 93",1.5,1.5
1934,18,"AS Red Star 93",1.5,1.5
1934,20,"EAC Roubaix",3,3
1934,20,"EAC Roubaix",3,3
1934,20,"SC Nîmois",0,0
1934,20,"SC Nîmois",0,1.5
1934,20,"SC Nîmois",0,0
1934,20,"SC Nîmois",0,0.5
1934,20,"SC Nîmois",0,1.5
1934,20,"SC Nîmois",0,0.5
1934,20,"SC Nîmois",0,0
1934,20,"SC Nîmois",0,0
1934,20,"EAC Roubaix",3,1.5
1934,20,"EAC Roubaix",3,0.5
1934,20,"EAC Roubaix",3,1
1934,20,"FC Sète 34",2,2
1934,20,"FC Sète 34",2,0
1934,20,"FC Sète 34",2,0
1934,20,"FC Sète 34",2,3
1934,20,"EAC Roubaix",3,1.5
1934,21,"AS Red Star 93",1.5,1
1934,21,"AS Red Star 93",1.5,0
1934,21,"EAC Roubaix",2,3
1934,21,"EAC Roubaix",2,1.5
1934,21,"AS Red Star 93",1.5,1.5
1934,21,"AS Red Star 93",1.5,1.5
1934,21,"AS Red Star 93",1.5,0.5
1934,21,"EAC Roubaix",2,0.5
1934,21,"EAC Roubaix",2,1
1934,21,"EAC Roubaix",2,3
1934,21,"EAC Roubaix",2,1.5
1934,21,"RC Strasbourg",3,3
1934,21,"RC Strasbourg",3,2
1934,21,"RC Strasbourg",3,1.5
1934,21,"RC Strasbourg",3,3
1934,21,"RC Strasbourg",3,0.5
1934,21,"RC Strasbourg",3,0.5
1934,21,"AS Red Star 93",1.5,0.5
1934,22,"Olympique de Marseille",1.5,2
1934,22,"Olympique de Marseille",1.5,0.5
1934,22,"Olympique de Marseille",1.5,0
1934,22,"Olympique de Marseille",1.5,1.5
1934,22,"Olympique de Marseille",1.5,1.5
1934,23,"RC Paris",1.5,1.5
1934,23,"FC Sète 34",2,0
1934,23,"FC Sète 34",2,0
1934,23,"FC Sète 34",2,2
1934,23,"FC Mulhouse",2,0
1934,23,"FC Mulhouse",2,3
1934,23,"FC Mulhouse",2,0
1934,23,"FC Sète 34",2,3
1934,23,"FC Mulhouse",2,1.5
1934,23,"RC Paris",1.5,0
1934,23,"RC Paris",1.5,3
1934,23,"FC Antibes",0.5,0
1934,23,"FC Antibes",0.5,1.5
1934,23,"FC Antibes",0.5,0
1934,23,"FC Antibes",0.5,1.5
1934,23,"FC Antibes",0.5,0.5
1934,23,"FC Antibes",0.5,0
1934,23,"RC Paris",1.5,0
1934,23,"RC Paris",1.5,1.5
1934,23,"RC Paris",1.5,0
1934,24,"SC Fives",3,3
1934,24,"SC Fives",3,1.5
1934,24,"SC Fives",3,0
1934,24,"SC Fives",3,0
1934,24,"RC Strasbourg",1.5,2
1934,24,"RC Strasbourg",1.5,0.5
1934,24,"RC Strasbourg",1.5,3
1934,24,"RC Strasbourg",1.5,0.5
1934,24,"RC Strasbourg",1.5,1.5
1934,24,"RC Strasbourg",1.5,3
1934,24,"SC Nîmois",0,0
1934,24,"SC Nîmois",0,0
1934,24,"SC Nîmois",0,0
